practice_code_standardised,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_over_14_days_share,ocs_mean_absolute_monthly_rate_change,gpad_mean_absolute_monthly_rate_change,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range
A88016,51.3746819021007,0.3304195804195804,0.10994560994560995,343.9548924704356,0.057970173504323104,0.8561190738699008,0.14010909301920735,0.24673591365403585,0.32977427029536355,0.1522079730749144,0.2712818429756862,8.937893807504457,55.838212062645994,632.2239409211118,37.550455919898695,109.52821883047295
A88022,156.97374036884784,0.9418049990459836,0.05819500095401641,384.08548045316024,0.03372648406277415,0.8224778243493518,0.1409299151964129,0.3248074861097573,0.25242226337849694,0.16492835559021346,0.2561263281021542,21.751200006376116,58.2625683539946,531.3325995312653,43.49650315286163,158.77187916153542
A88025,18.63043227221987,0.6487603305785123,0.3512396694214876,406.0779860656684,0.040144082657945876,0.6585146215460448,0.33499217972415757,0.3823403952793971,0.37006493198729795,0.13114365609744538,0.11611924735769467,3.61933600189049,52.914779072943226,843.1810308325955,103.70483681858718,349.74196611366347
A88613,115.05738029283735,0.8130696474634566,0.18693035253654341,510.6054610209735,0.04498953731690305,0.5469658219018833,0.4088971557002248,0.21611253196930946,0.4496241184220724,0.18402697047198327,0.15012012710222428,20.35143266416157,57.7180943083604,679.204590423427,69.13879348942619,165.9306787761567
A89001,105.10199072142173,0.8939685876102061,0.1060314123897939,394.01433515795674,0.06860622673540268,0.7594499042160512,0.23516127525036212,0.29302101017023063,0.21634712726026756,0.24106405843599607,0.23327674552618874,37.179578013992256,46.29340261380725,797.4852107317313,59.18711232571559,134.1310275806627
A89002,13.478741823778376,0.6975914362176628,0.3024085637823372,306.3798576375529,0.07005219575369884,0.899179781013304,0.004513166673207488,0.2731446960480358,0.20230760174247478,0.2741650641654566,0.2503826380440328,5.432601237391771,33.69467553771379,921.3639861485186,76.29255513160035,236.24406212249494
A89004,234.63808701633224,0.9246507732344231,0.07534922676557686,493.2656742397125,0.04120660216277746,0.6364257256687536,0.17463005122367672,0.537322140011383,0.23188673875924873,0.1491747296528173,0.08124644280022766,34.238699619690514,72.22530987656388,1000.5334119414089,85.86187391872376,264.9553133190716
A89005,9.235300004288838,0.37770897832817335,0.6222910216718266,421.4213212483381,0.041861727389917905,0.8164733021236176,0.18339100346020762,0.28512789198724475,0.526799647194518,0.11415292760702897,0.07347852635864034,3.095336013182852,28.426910109052468,818.8680324236229,70.69706544962966,185.29642015035415
A89006,7.718212052124077,0.5636856368563685,0.4363143631436314,434.1860319186764,0.08211292031987667,0.8704114076500626,0.10323730609885345,0.3402784468638597,0.28509490316986225,0.19115521726563253,0.1831583004142981,2.3954688943478346,31.634575345982565,923.3930849839988,61.51135945014128,223.5068472379038
A89007,24.923074371117433,0.7697171381031614,0.2302828618968386,479.7671081769248,0.06876879991702106,0.7975832382532932,0.1357397227120285,0.3457974622272932,0.48103585381876013,0.08491511945510494,0.08733533865781558,4.39158316462214,61.30869628389804,867.0161149861907,70.21661670938546,277.16003616309536
